"Posicion","Titulo","Duracion","Genero","Rating","Votos","Director","Actor"
1,"Jurassic World: El reino caído","NA","Action","NA","NA","J.A. Bayona","Bryce Dallas Howard"
2,"El laberinto del fauno","118","Drama","8.2","515264","Guillermo del Toro","Ivana Baquero"
3,"Contratiempo","106","Crime","8","36627","Oriol Paulo","Mario Casas"
4,"Mariposa negra","93","Thriller","6.1","6231","Brian Goodman","Jonathan Rhys Meyers"
5,"Colossal","109","Action","6.2","32109","Nacho Vigalondo","Anne Hathaway"
6,"El secreto de Marrowbone","110","Drama","6.3","361","Sergio G. Sánchez","George MacKay"
7,"El bueno, el feo y el malo","182","Western","8.9","555475","Sergio Leone","Clint Eastwood"
8,"Un monstruo viene a verme","108","Drama","7.5","52429","J.A. Bayona","Lewis MacDougall"
9,"28 semanas después","100","Drama","7","227098","Juan Carlos Fresnadillo","Jeremy Renner"
10,"La vida de Adèle","180","Drama","7.8","108255","Abdellatif Kechiche","Léa Seydoux"
11,"Los otros","101","Horror","7.6","292698","Alejandro Amenábar","Nicole Kidman"
12,"El bar","102","Comedy","6.4","6842","Álex de la Iglesia","Blanca Suárez"
13,"Mamá","100","Horror","6.2","147603","Andy Muschietti","Jessica Chastain"
14,"Infierno azul","86","Drama","6.3","88465","Jaume Collet-Serra","Blake Lively"
15,"Tomorrowland: El mundo del mañana","130","Action","6.5","148398","Brad Bird","George Clooney"
16,"En el corazón del mar","122","Action","6.9","95592","Ron Howard","Chris Hemsworth"
17,"El reino de los cielos","144","Action","7.2","233924","Ridley Scott","Orlando Bloom"
18,"La promesa","133","Drama","6","157654","Terry George","Oscar Isaac"
19,"El maquinista","101","Drama","7.7","306113","Brad Anderson","Christian Bale"
20,"Enemy","91","Mystery","6.9","120209","Denis Villeneuve","Jake Gyllenhaal"
21,"Money","86","Crime","5.7","1479","Martín Rosete","Jesse Williams"
22,"Midnight in Paris","94","Comedy","7.7","329775","Woody Allen","Owen Wilson"
23,"La novena puerta","133","Mystery","6.7","145603","Roman Polanski","Johnny Depp"
24,"El infierno verde","100","Adventure","5.3","28735","Eli Roth","Lorenza Izzo"
25,"Relatos salvajes","122","Comedy","8.1","120331","Damián Szifron","Darío Grandinetti"
26,"El secreto de sus ojos","129","Drama","8.2","151033","Juan José Campanella","Ricardo Darín"
27,"The Young Pope","546","Drama","8.4","20867",NA,"Jude Law"
28,"Lo imposible","114","Drama","7.6","161726","J.A. Bayona","Naomi Watts"
29,"I'll Push You","100","Documentary","8.4","23","Chris Karcher","Patrick Gray"
30,"El perfume: Historia de un asesino","147","Crime","7.5","204103","Tom Tykwer","Ben Whishaw"
31,"El orfanato","105","Drama","7.5","128894","J.A. Bayona","Belén Rueda"
32,"El secreto de una obsesión","111","Crime","6.2","29837","Billy Ray","Chiwetel Ejiofor"
33,"The Hunter's Prayer","91","Action","5.5","3387","Jonathan Mostow","Sam Worthington"
34,"Vanilla Sky","136","Fantasy","6.9","219449","Cameron Crowe","Tom Cruise"
35,"Velvet","43","Drama","8.2","2812",NA,"Paula Echevarría"
36,"Habitación en Roma","109","Drama","6.2","18287","Julio Medem","Elena Anaya"
37,"Una mujer fantástica","104","Drama","7.5","1500","Sebastián Lelio","Daniela Vega"
38,"Lo que de verdad importa","113","Comedy","6.1","820","Paco Arango","Oliver Jackson-Cohen"
39,"Exodus: Dioses y reyes","150","Action","6","140959","Ridley Scott","Christian Bale"
40,"Lucía y el sexo","128","Drama","7.2","31246","Julio Medem","Paz Vega"
41,"[Rec]","78","Horror","7.5","142276","Jaume Balagueró","Manuela Velasco"
42,"El cuerpo","108","Mystery","7.6","29389","Oriol Paulo","Jose Coronado"
43,"Vicky Cristina Barcelona","96","Drama","7.1","213862","Woody Allen","Rebecca Hall"
44,"El ultimátum de Bourne","115","Action","8.1","540172","Paul Greengrass","Matt Damon"
45,"A Roma con amor","112","Comedy","6.3","74092","Woody Allen","Woody Allen"
46,"La piel que habito","120","Drama","7.6","112933","Pedro Almodóvar","Antonio Banderas"
47,"Inmersión","112","Drama","5.8","208","Wim Wenders","James McAvoy"
48,"Amar","105","Drama","5.2","951","Esteban Crespo","María Pedraza"
49,"V3nganza","109","Action","6","150086","Olivier Megaton","Liam Neeson"
50,"Las chicas del cable","50","Drama","7.7","2620",NA,"Maggie Civantos"
